#Clemens2013_DustMass
#Clemens2013_Phi 
#Clemens2013_Phi_uperr 
#Clemens2013_Phi_downerr 
6.4 	 -1.27 	 0.38 	 -0.73
6.7 	 -1.7 	 0.32 	 -0.32
7.0 	 -1.7 	 0.24 	 -0.28
7.3 	 -1.83 	 0.16 	 -0.19
7.6 	 -1.92 	 0.11 	 -0.11
7.9 	 -2.22 	 0.08 	 -0.08
8.2 	 -2.68 	 0.09 	 -0.07
8.5 	 -3.46 	 0.11 	 -0.12
8.8 	 -4.61 	 0.36 	 -0.36
9.1 	 -5.75 	 0.54 	 -0.0
