#https://arxiv.org/pdf/1504.04376v1.pdf
#
#x err err
#
#Phot Redshift		SMass				DMass
#
#
#Phot_z z+err z-err SM SM+err SM-err DM DM+err DM-err
2.47	0.61	0.64	10.89	0.13	0.45	8.52	0.38	0.20
2.42	0.25	0.20	10.42	0.05	0.31	8.76	0.14	0.25
1.58	0.84	0.85	9.16	0.26	0.63	7.71	1.16	1.71
2.38	0.24	0.55	10.29	0.06	0.34	8.92	0.22	0.33
3.33	0.01	2.00	11.87	0.12	0.21	8.72	0.32	0.03
4.62	2.95	2.00	10.36	0.23	0.55	8.55	0.56	0.40
2.42	0.30	0.44	11.61	0.07	0.14	8.75	0.27	0.21
4.57	3.00	2.15	10.21	0.22	0.57	8.40	0.56	0.42
3.42	0.36	0.45	11.00	0.09	0.39	8.28	0.32	0.21
2.22	1.06	1.24	9.33	0.23	0.83	8.24	0.51	2.24
3.58	0.74	0.46	11.05	0.24	0.51	8.71	0.35	0.26
3.62	3.70	2.74	10.55	0.16	0.65	8.61	0.55	0.95
2.72	0.25	1.14	11.01	0.15	0.31	9.28	0.20	0.19
3.42	0.96	1.75	10.92	0.18	0.51	8.55	0.39	0.18
1.58	0.59	0.16	11.32	0.14	0.27	8.66	0.13	0.26
3.83	1.24	0.75	11.34	0.20	0.56	8.82	0.30	0.14
3.58	0.80	0.80	10.92	0.17	0.44	8.52	0.27	0.17
3.58	0.70	0.75	11.19	0.16	0.50	8.60	0.30	0.16
3.47	1.41	1.49	10.76	0.15	0.33	8.53	0.37	0.22
3.47	0.91	0.50	10.41	0.10	0.21	9.34	0.25	0.26
2.03	0.19	0.45	10.89	0.21	0.21	8.71	0.15	0.10
2.42	0.80	0.94	11.13	0.16	0.52	8.91	0.31	0.31
3.42	2.01	1.00	10.43	0.27	0.77	8.45	0.41	0.35
1.88	0.65	0.50	10.07	0.80	0.08	8.44	0.52	0.49
	
