#Name	Mstar	Mstar_err	Mdust1	Mdust1_up	Mdust1_down	Mdust2	Mdust2_up	Mdust2_down	Name	MHI	MHI_err	12+log(O/H)	MH2,MW	MH2,Z	
10.29	0.21	7.46	0.06	0.04	7.08	0.04	0.03	3.72E9	16.08	8.35	8.71E8	4.17E9	
9.20	0.21	6.18	0.07	0.08	5.76	0.07	0.07	1.32E8	29.47	8.29	8.91E7	5.62E8	
9.97	0.20	7.89	0.05	0.07	7.49	0.07	0.17	4.56E9	16.08	8.25	6.14E8	4.66E9	
11.00	0.20	7.93	0.05	0.04	7.54	0.04	0.04	7.56E9	16.08	8.47	1.67E8	4.59E8	
10.18	0.21	6.92	0.04	0.03	6.55	0.04	0.03	-99.0	-99.0	8.29	1.33E9	8.39E9	
11.02	0.20	7.29	0.18	0.09	6.86	0.05	0.06	1.78E9	16.08	8.52	-99.0	-99.0	
11.15	0.20	6.53	0.12	0.10	6.03	0.15	0.12	-99.0	-99.0	8.29	-99.0	-99.0	
10.91	0.04	7.60	0.05	0.04	7.23	0.04	0.03	9.49E9	16.08	8.46	1.60E9	4.60E9	
10.55	0.21	7.40	0.04	0.04	7.01	0.04	0.03	8.01E8	-99.0	8.11	3.11E9	4.49E10	
10.36	0.19	7.73	0.11	0.09	7.26	0.14	0.09	7.33E9	16.08	8.56	-99.0	-99.0	
10.94	0.04	7.65	0.04	0.03	7.26	0.04	0.03	3.89E9	22.10	8.68	7.77E10	8.13E10	
8.23	0.21	4.92	0.26	0.07	4.52	0.05	0.04	4.21E8	23.95	7.72	5.18E6	2.85E8	
7.24	0.32	4.04	0.40	0.09	3.67	0.27	0.07	6.16E7	16.08	7.60	7.60E5	4.17E7	
10.36	0.25	7.11	0.04	0.04	6.73	0.03	0.04	2.13E9	16.08	8.34	3.21E9	1.61E10	
11.08	0.20	7.78	0.06	0.06	7.42	0.04	0.03	8.63E9	16.08	8.54	2.92E9	5.82E9	
8.49	0.22	5.66	0.05	0.05	5.28	0.07	0.06	3.52E8	16.08	7.94	4.34E6	2.39E8	
7.84	0.14	5.44	0.04	0.04	5.15	0.06	0.04	1.45E8	16.08	7.61	1.79E6	9.85E7	
9.32	0.21	6.33	0.27	0.06	5.95	0.04	0.04	1.27E8	16.08	8.36	5.81E7	2.66E8	
9.71	0.19	7.17	0.16	0.10	6.76	0.13	0.10	1.21E9	16.08	8.53	1.80E8	3.75E8	
9.46	0.20	6.55	0.13	0.17	5.78	0.38	0.10	8.71E8	16.08	8.52	3.80E6	8.32E6	
7.24	0.32	5.03	0.10	0.11	4.66	0.14	0.07	1.16E7	16.08	7.84	1.43E5	7.85E6	
10.74	0.20	7.25	0.04	0.04	6.89	0.04	0.05	4.27E8	36.84	8.49	3.93E8	9.87E8	
10.49	0.21	7.58	0.08	0.06	7.25	0.03	0.04	3.37E9	16.08	8.51	1.19E9	2.73E9	
10.35	0.21	7.96	0.13	0.13	7.26	0.07	0.04	6.85E9	26.71	8.34	1.30E9	6.53E9	
8.99	0.20	6.54	0.10	0.07	6.06	0.10	0.07	1.32E9	16.08	7.85	3.16E6	1.51E8	
9.55	0.21	6.42	0.12	0.09	5.99	0.11	0.07	1.75E8	38.68	8.27	4.39E8	3.04E9	
10.47	0.20	7.28	0.05	0.04	6.88	0.04	0.04	1.02E9	16.08	8.60	4.77E8	7.23E8	
10.99	0.20	7.91	0.06	0.05	7.54	0.04	0.03	8.71E9	16.08	8.39	4.77E9	1.90E10	
10.20	0.20	7.57	0.18	0.08	6.98	0.05	0.04	6.99E9	16.08	8.27	-99.0	-99.0	
10.79	0.20	7.60	0.03	0.04	7.25	0.04	0.03	8.46E8	16.08	8.34	3.21E9	1.61E10	
9.14	0.20	5.96	0.06	0.06	5.54	0.06	0.05	9.03E7	16.08	8.43	4.95E7	1.64E8	
10.60	0.19	7.72	0.07	0.06	7.34	0.04	0.03	8.00E9	16.08	8.42	4.38E9	1.52E10	
9.08	0.19	7.06	0.09	0.18	6.25	0.08	0.07	2.69E9	16.08	8.17	9.33E7	1.02E9	
10.73	0.20	7.81	0.04	0.05	7.46	0.02	0.02	3.76E9	16.08	8.45	6.82E9	2.06E10	
10.86	0.20	7.88	0.04	0.03	7.55	0.03	0.03	2.39E9	16.08	8.50	5.34E9	1.28E10	
10.44	0.19	7.60	0.06	0.08	7.19	0.06	0.07	1.73E9	16.08	8.21	1.72E9	1.57E10	
9.82	0.21	7.46	0.08	0.09	7.00	0.21	0.09	4.09E9	16.08	8.29	1.92E8	1.21E9	
10.51	0.19	7.18	0.04	0.04	6.79	0.04	0.03	1.55E8	16.08	8.58	1.14E9	1.90E9	
11.03	0.20	7.59	0.04	0.04	7.22	0.03	0.03	5.47E8	16.08	8.54	1.89E9	3.77E9	
11.19	0.20	7.28	0.10	0.07	6.96	0.07	0.03	2.60E8	16.08	8.54	2.16E8	4.31E8	
9.27	0.19	6.63	0.13	0.12	6.01	0.05	0.05	1.00E9	16.08	8.35	2.09E7	1.00E8	
10.44	0.20	7.59	0.37	0.22	7.20	0.06	0.04	8.77E9	16.08	8.12	1.10E9	1.52E10	
10.48	0.20	6.60	0.06	0.04	6.31	0.02	0.03	2.77E8	16.08	8.54	4.80E8	9.58E8	
10.77	0.20	7.76	0.06	0.05	7.46	0.03	0.04	5.59E9	16.08	8.40	2.73E9	1.04E10	
8.99	0.02	6.78	0.06	0.06	6.43	0.08	0.08	2.48E8	11.97	8.35	-99.0	-99.0	
8.60	0.20	5.64	0.04	0.04	5.20	0.07	0.05	3.22E8	16.08	7.81	3.97E6	2.18E8	
10.67	0.20	8.16	0.16	0.10	7.53	0.07	0.06	1.16E10	16.08	8.42	-99.0	-99.0	
9.17	0.17	6.79	0.12	0.07	6.36	0.11	0.07	9.71E8	24.87	8.31	5.88E7	3.38E8	
10.50	0.22	7.43	0.04	0.04	7.04	0.04	0.04	5.51E9	16.08	8.24	3.39E9	2.69E10	
10.80	0.20	6.78	0.05	0.03	6.45	0.03	0.03	2.85E8	-99.0	8.47	6.38E8	1.76E9	
10.77	0.20	7.85	0.03	0.05	7.47	0.03	0.04	3.58E9	16.08	8.40	4.50E9	1.71E10	
11.15	0.20	8.08	0.06	0.04	7.72	0.03	0.04	8.85E9	16.08	8.34	6.70E9	3.36E10	
9.72	0.19	7.24	0.08	0.09	6.79	0.13	0.15	8.75E8	16.08	8.31	-99.0	-99.0
